company,email
Alembic Pharmaceuticals,careers@alembic.co.in
Alembic Pharmaceuticals,trainee@alembic.co.in
Alembic Pharmaceuticals,prodform@alembic.co.in
Alembic Pharmaceuticals,msnt@alembic.co.in
Alembic Pharmaceuticals,vivek.amishra@alembic.co.in
Alembic Pharmaceuticals,pratiksha.dubey@alembic.co.in
Alembic Pharmaceuticals,infoal@alembic.co.in
Sun Pharma,HR.Tandalja@sunpharma.com
Sun Pharma,vidhi.rajgor@sunpharma.com
Sun Pharma,hr.baska@sunpharma.com
Sun Pharma,careers@sunpharma.com
Bills Biotech,hr@billsbiotech.com
Bills Biotech,info@billsbiotech.com
Zydus Lifesciences,recruitment@zyduslife.com
Zydus Lifesciences,dipak.panchasara@zyduslife.com
Zydus Lifesciences,hr.dabhasa@zyduslife.com
Zydus Lifesciences,Bhagyesh.r@zyduslife.com
BDR Pharmaceuticals,mrunal.uttekar@bdrpharma.com
BDR Pharmaceuticals,roshni.makkad@bdrpharma.com
Torrent Pharmaceuticals,hr@torrentpharma.com
Torrent Pharmaceuticals,careers@torrentpharma.com
Intas Pharmaceuticals,careers@intaspharma.com
Intas Pharmaceuticals,generalqueries@intaspharma.com
Intas Pharmaceuticals,recruitment_ddn@intaspharma.com
GLPL India,hr@glplindia.co.in
GLPL India,csm@glplindia.co.in
Glenmark Life Sciences,vijay.vaghasiya@glenmarklifesciences.com
Glenmark Life Sciences,api.web@glenmarklifesciences.com
Wockhardt,Career@wockhardt.com
Wockhardt,VKakde@wockhardt.com
Cadila Pharmaceuticals,careers@cadilapharma.com
Cardkem Pharma,info@cardkem.com
Galpha Laboratories,info@galpha.com
Dishman Carbogen Amcis,careers@dishmangroup.com
Gufic Biosciences,binal.kapadia@guficbio.com
Praha Healthcare,hr@prahashealthcare.com
Immugenix Bio,info@immugenixbio.com
Savli Bio Incubator,SavliBioIncubator@gmail.com
Aristo Biotech,mail@aristobiotech.com
Basic Pharma,sales@basicpharma.in
STBI Vadodara (Gujarat Govt Incubator),CTO-STBI-VDR@gujarat.gov.in
Career Choice Solution (Recruiter),abhishek.p@careerchoicesolution.com
Career Choice Solution (Recruiter),hrd@careerchoicesolution.com
Bestfit Recruitment (Recruiter),dharmesh@bestfitrecruitment.co.in
Sai Group Baroda (Recruiter),saigroupbrd@gmail.com
Perfect Placement (Recruiter),info@perfectplacement.co.in
Perfect Placement Bureau (Recruiter),info@perfectplacementbureau.com
Cipla,careers@cipla.com
Cipla,hr.india@cipla.com
Lupin,careers@lupinworld.com
Lupin,hr@lupin.com
Dr Reddys Laboratories,careers@drreddys.com
Mankind Pharma,careers@mankindpharma.com
Macleods Pharmaceuticals,careers@macleodspharma.com
Macleods Pharmaceuticals,hr@macleodspharma.com
Amneal Pharmaceuticals India,careers@amneal.com
Amneal Pharmaceuticals India,hr.india@amneal.com
Eris Lifesciences,hr@erislifesciences.com
Eris Lifesciences,info@erislifesciences.com
Lincoln Pharmaceuticals,info@lincolnpharma.com
Troikaa Pharmaceuticals,info@troikaapharma.com
Concord Biotech,hr@concordbiotech.com
Concord Biotech,info@concordbiotech.com
Meril Life Sciences,hr@merillife.com
Meril Life Sciences,careers@merillife.com
Finecure Pharmaceuticals,info@finecure.in
Sudeep Pharma,info@sudeeppharma.com
Baroda Pharma Industries,info@barodapharma.com
Relax Biotech,info@relaxbiotech.com
Kashmik Formulation,hr@kashmikformulation.com
Unison Pharmaceuticals,info@unisonpharma.com
Claris Lifesciences,careers@clarislifesciences.com
Torrent Pharma (Dahej),hr.dahej@torrentpharma.com
Lyka Labs,info@lykalabs.com
Piramal Pharma,careers@piramal.com
Ajanta Pharma,hr@ajantapharma.com
Ajanta Pharma,careers@ajantapharma.com
Hetero Labs,careers@heterolabs.com
Biocon,careers@biocon.com
Glenmark Pharma,careers@glenmarkpharma.com
Aurobindo Pharma,careers@aurobindo.com
Natco Pharma,hr@natcopharma.co.in
Ipca Laboratories,careers@ipca.com
FDC Limited,hr@fdcindia.com
Emcure Pharmaceuticals,careers@emcure.co.in
Jubilant Pharmova,careers@jubilantpharmova.com
MSN Laboratories,hr@msnlabs.com
Laurus Labs,careers@lauruslabs.com
Granules India,hr@granulesindia.com
RPG Life Sciences,hr@rpglifesciences.com
Aarti Drugs,hr@aartidrugs.com
Shilpa Medicare,hr@shilpamedicare.com
Wanbury,careers@wanbury.com
JB Chemicals,careers@jbcpl.com
Alkem Laboratories,careers@alkem.com
Gland Pharma,careers@glandpharma.com
Strides Pharma,careers@strides.com
Syngene International,careers@syngeneintl.com
Divis Laboratories,careers@divislabs.co.in
Sun Pharma Advanced Research,hr@sparc.life
Zydus Wellness,hr@zyduswellness.com
Vadilal Chemicals,info@vadilalchemicals.com
Gujarat Pharma (Recruiter),info@gujaratpharma.com
Pharma Wisdom (Recruiter),careers@pharmawisdom.in
TeamLease (Recruiter - Pharma),pharma@teamlease.com
Naukri HR consultants (Recruiter),pharma.hr@gmail.com
